Title;Date;Genre;Director;Starring;Watched
The Day After;1983;Sci-Fi;Nicholas Meyer;Jason Robards, John Lithgow;NO
Notorious;1946;Film-Noir/Romance;Alfred Hitchcock;Cary Grant, Ingrid Bergman;NO
Rebecca;1940;Mystery/Romance;Alfred Hitchcock;Laurence Olivier, Joan Fontaine;NO
Psycho;1960;Horror/Thriller;Alfred Hitchcock;NA;NO
The Duellists;1977;War/Drama;Ridley Scott;Harvey Keitel, Keith Carradine;NO
The Emerald Forest;1985;Adventure/Drama;John Boorman;Powers Boothe, ;NO
Deliverance;1972;Adventure/Thriller;John Boorman;Burt Reynolds, Jon Voight;NO
Excalibur;1981;Adventure/Fantasy;John Boorman;Helen Mirren, Liam Neeson;YES
The Mission;1986;Adventure/History;Roland Joffé;Robert De Niro, Jeremy Irons;NO
Hannibal;2001;Crime/Thriller;Ridley Scott;Anthony Hopkins, Gary Oldman;NO
Extremely Wicked, Shockingly Evil and Vile;2019;Biography/Crime;Joe Berlinger;Zac Effron, James Hetfield;NO
The Killing of a Sacred Deer;2017;Mystery/Thriller;Yorgos Lanthimos;Colin Farrell, Nicole Kidman;NO
The Lion in Winter;1968;Biography/History;Anthony Harvey;Peter O'Toole, Anthony Hopkins;NO
The Seven-Per-Cent Solution;1976;Crime/Drama;Herbert Ross;Nicol Williamson, Vanessa Redgrave;NO
Hamlet;1948;Drama;Laurence Olivier;Laurence Olivier, Jean Simmons;NO
12 Angry Men;1957;Drama;Sidney Lumet;Henry Fondra, Jack Warden;NO
The Grapes of Wrath;1940;Drama/Adaptation;John Ford;Henry Fondra;NO
Bone Tomahawk;2015;Adventure/Horror;S.Craig Zahler;Kurt Russell, Matthew Fox;NO
Wind River;2017;Crime/Mystery;Taylor Sheridan;Jeremy Renner, Elizabeth Olsen;NO
Hell or High Water;2016;Action/Crime;David Mackenzie;Jeff Bridges;NO
Criminal;2016;Action/Crime;Ariel Vromen;Ryan Reynolds, Gal Gadot, Kevin Costner;NO
Primal Fear;1996;Crime/Mystery;Gregory Hoblit;Richard Gere, Edward Norton;NO
How I Unleashed World War II;1970;Comedy/War;Tadeusz Chmielewski;NA;NO
Unbreakable;2000;Drama/Mystery;M.Night Shyamalan;Bruce Willis, Samuel L. Jackson;YES
American Gangster;2007;Biography/Crime;Ridley SCott;Denzel Washington, Russell Crowe;NO
Seven Psychopaths;2012;Comedy/Crime;Martin McDonagh;Colin Farrell, Woody Harrelson;NO
The Maltese Falcon;1941;Film-Noir/Mystery;John Huston;Humphrey Bogart;NO
Zorba the Greek;1964;Comedy/Drama;Michael Cacoyannis;Anthony Quinn, Alan Bates;NO
To Kill a Mockingbird;1962;Crime/Drama;Robert Mulligan;Gregory Peck;NO
Hostiles;2017;Western/Adventure;Scott Cooper;Rosamund Pike, Christian Bale;NO
A Private War;2018;Biography/War;Matthew Heineman;Rosamund Pike, Tom Hollander;NO
In the Line of Fire;1993;Action/Crime;Wolfgang Petersen;Clint Eastwood, John Malkovich;YES
Million Dollar Baby;2004;Drama/Sport;Clint Eastwood;Clint Eastwood, Hilary Swank;NO
Blood Work;2002;Action/Crime;Clint Eastwood;Clint Eastwood, Jeff Daniels;YES
Absolute Power;1997;Action/Crime;Clint Eastwood;Clint Eastwood, Gene Hackman;YES
Magnum Force;1973;Action/Mystery;Ted Post;Clint Eastwood;YES
Space Cowboys;2000;Adventure/Thriller;Clint Eastwood;Clint Eastwood, Tommy Lee Jones;NO
True Crime;1999;Crime/Mystery;Clint Eastwood;Clint Eastwood, James Woods;NO
The Gauntlet;1977;Crime/Thriller;Clint Eastwood;Clint Eastwood, Sondra Locke;NO
The Outlaw Josey Wales;1976;Western;Clint Eastwood;Clint Eastwood, Sondra Locke;YES
Pale Rider;1985;Western;Clint Eastwood;Clint Eastwood, Michael Moriarty;YES
A Perfect World;1993;Crime/Thriller;Clint Eastwood;Kevin Costner, Clint Eastwood;NO
Blood Father;2016;Action/Crime;Jean-Francois Richet;Mel Gibson;YES
Ransom;1996;Action/Thriller;Ron Howard;Mel Gibson, Rene Russo;NO
Dark City;1998;Sci-Fi/Thriller;Alex Proyas;Kiefer Sutherland, Jennifer Connelly;NO
A History of Violence;2005;Crime/Thriller;David Cronenberg;Viggo Mortensen, Ed Harris;NO
Kiss of the Spider Woman;1985;Drama;Hector Babenco;William Hurt;NO
The Road;2009;Drama;John Hillcoat;Viggo Mortensen, Charlize Theron;NO
Eastern Promises;2007;Action/Crime;David Cronenberg;Naomi Watts, Viggo Mortensen;NO
Alatriste;2006;Adventure/History;Agustín Díaz Yanes;Viggo Mortensen;YES
Appaloosa;2008;Action/Crime;Ed Harris;Ed Harris, Viggo Mortensen;NO
High Plains Drifter;1973;Western/Mystery;Clint Eastwood;Clint Eastwood;YES
Hang 'Em High;1968;Western;Ted Post;Clint Eastwood, Inger Stevens;YES
Two Mules for Sister Sara;1970;War/Adventure;Don Siegel;Clint Eastwood, Shirley MacLaine;YES
The Man Who Cheated Himself;1950;Film-Noir;Felix E. Feist;Lee J. Cobb;NO
The Postman Always Rings Twice;1946;Film-Noir;Tay Garnett;John Garfield,;NO
Inherent Vice;2014;Film-Noir;Paul Thomas Anderson;Joaquin Phoenix, Owen Wilson;NO
The Long Goodbye;1973;Film-Noir;Robert Altman;Elliott Gould, Sterling Hayden;NO
Basic Instinct;1992;Mystery/Thriller;Paul Verhoeven;Michael Douglas, Sharon Stone;NO
Moonrise;1948;Film-Noir;Frank Borzage;Dane Clark;NO
High and Low;1963;Crime/Mystery;Akira Kurosawa;Toshiro Mifune;NO
Ran;1985;Action;Akira Kurosawa;Tatsuya Nakadai;NO
Sanjuro;1962;Action/Crime;Akira Kurosawa;Toshiro Mifune, Tatsuya Nakadai;NO
Mifune: The Last Samurai;2015;Documentary;Steven Okazaki;NA;NO
Mulholland Dr.;2001;Mystery/Thriller;David Lynch;Naomi Watts;NO
The Big Heat;1953;Film-Noir;Fritz Lang;Glenn Ford;NO
Kumonosu-jo;1957;History;Akira Kurosawa;Toshiro Mifune;NO
Kakushi-toride no san-akunin;1958;Adventure;Akira Kurosawa;Toshiro Mifune, Misa Uehara;NO
Akahige;1965;Drama;Akira Kurosawa;Toshiro Mifune;NO
Chinatown;1974;Mystery/Thriller;Roman Polanski;Jack Nicholson, John Huston;NO
Kiss Me Deadly;1955;Film-Noir;Robert Aldrich;NA;NO
The Third Man;1949;Film-Noir;Carol Reed;Orson Welles;NO
The Big Sleep;1946;Film-Noir;Howard Hawks;Humphrey Bogart, Lauren Bacall;NO
Out of the Past;1947;Film-Noir;Jacques Tourneur;Kirk Douglas;NO
In a Lonely Place;1950;Film-Noir;Nicholas Ray;Humphrey Bogart;NO
